Predictor,Outcome,rho,p_value,n
SIFT_converted_rankscore,Aβ40 (relative to WT),-0.03317275212294281,0.8749177427054612,25
SIFT4G_converted_rankscore,Aβ40 (relative to WT),-0.21133898836995338,0.31053047551691393,25
Polyphen2_HDIV_rankscore,Aβ40 (relative to WT),0.009376904323133185,0.9645177854068222,25
Polyphen2_HVAR_rankscore,Aβ40 (relative to WT),-0.1659600903647463,0.427871633489462,25
MutationTaster_rankscore,Aβ40 (relative to WT),-0.15408506667694893,0.4621010421239051,25
MutationAssessor_rankscore,Aβ40 (relative to WT),0.17891498053865593,0.3921573962203002,25
PROVEAN_converted_rankscore,Aβ40 (relative to WT),0.18769230769230769,0.36895229419053976,25
VEST4_rankscore,Aβ40 (relative to WT),-0.21076923076923076,0.311867034186645,25
MetaSVM_rankscore,Aβ40 (relative to WT),-0.40469321771884864,0.04478648111135803,25
MetaLR_rankscore,Aβ40 (relative to WT),-0.32544720740508176,0.11240061770133952,25
MetaRNN_rankscore,Aβ40 (relative to WT),-0.11307692307692309,0.5904595228666748,25
M-CAP_rankscore,Aβ40 (relative to WT),-0.3095652173913043,0.1410114671131046,24
REVEL_rankscore,Aβ40 (relative to WT),-0.272360074282267,0.18778979133249338,25
MutPred2_rankscore,Aβ40 (relative to WT),-0.15000000000000002,0.4741966461552527,25
MVP_rankscore,Aβ40 (relative to WT),-0.37846153846153846,0.062110443546174544,25
gMVP_rankscore,Aβ40 (relative to WT),-0.3807692307692308,0.06040566497226483,25
MPC_rankscore,Aβ40 (relative to WT),-0.13117907532521617,0.5319538725347297,25
PrimateAI_rankscore,Aβ40 (relative to WT),-0.3453846153846154,0.09083602638147699,25
DEOGEN2_rankscore,Aβ40 (relative to WT),-0.02846153846153846,0.8925731044757399,25
BayesDel_addAF_rankscore,Aβ40 (relative to WT),0.013846153846153848,0.9476251645766063,25
BayesDel_noAF_rankscore,Aβ40 (relative to WT),-0.18692307692307694,0.37095344799135543,25
ClinPred_rankscore,Aβ40 (relative to WT),0.20153846153846153,0.33401212685217296,25
LIST-S2_rankscore,Aβ40 (relative to WT),0.06999999999999999,0.7395196738699978,25
VARITY_R_rankscore,Aβ40 (relative to WT),-0.24384615384615385,0.24013623654456348,25
VARITY_ER_rankscore,Aβ40 (relative to WT),-0.25769230769230766,0.21363539140584958,25
VARITY_R_LOO_rankscore,Aβ40 (relative to WT),-0.24,0.24786475636345956,25
VARITY_ER_LOO_rankscore,Aβ40 (relative to WT),-0.2592307692307692,0.21081769004196943,25
ESM1b_converted_rankscore,Aβ40 (relative to WT),-0.10153846153846155,0.6291299593362891,25
AlphaMissense_rankscore,Aβ40 (relative to WT),-0.2069230769230769,0.3209818205664552,25
PHACTboost_rankscore,Aβ40 (relative to WT),-0.2346153846153846,0.2589546007608909,25
MutFormer_rankscore,Aβ40 (relative to WT),-0.2846153846153846,0.1679142421419649,25
MutScore_rankscore,Aβ40 (relative to WT),-0.25466436324132874,0.2192548607861275,25
CADD_raw_rankscore,Aβ40 (relative to WT),-0.3715384615384616,0.06744805844100726,25
DANN_rankscore,Aβ40 (relative to WT),-0.2504327801663218,0.22727264161077404,25
fathmm-XF_coding_rankscore,Aβ40 (relative to WT),-0.19615384615384615,0.3473556499313192,25
Eigen-raw_coding_rankscore,Aβ40 (relative to WT),-0.29923076923076924,0.14619758715586154,25
Eigen-PC-raw_coding_rankscore,Aβ40 (relative to WT),-0.33307692307692305,0.10374411886277625,25
SIFT_converted_rankscore,Aβ42 (relative to WT),0.2248804010194844,0.2798060690153459,25
SIFT4G_converted_rankscore,Aβ42 (relative to WT),0.15040548442387194,0.47298882922377317,25
Polyphen2_HDIV_rankscore,Aβ42 (relative to WT),0.22708416121674713,0.27499526395035573,25
Polyphen2_HVAR_rankscore,Aβ42 (relative to WT),0.23658961719439414,0.2548519670137712,25
MutationTaster_rankscore,Aβ42 (relative to WT),0.41938942960192116,0.03689579818475426,25
MutationAssessor_rankscore,Aβ42 (relative to WT),-0.0884955817718083,0.6740094450098911,25
PROVEAN_converted_rankscore,Aβ42 (relative to WT),0.3623076923076923,0.07510405629884179,25
VEST4_rankscore,Aβ42 (relative to WT),0.3276923076923077,0.10980008828638678,25
MetaSVM_rankscore,Aβ42 (relative to WT),0.20311598760033472,0.33016213808904216,25
MetaLR_rankscore,Aβ42 (relative to WT),0.1900365490048586,0.36289250891061064,25
MetaRNN_rankscore,Aβ42 (relative to WT),0.27692307692307694,0.1802089385790167,25
M-CAP_rankscore,Aβ42 (relative to WT),0.3556521739130434,0.0880823216085084,24
REVEL_rankscore,Aβ42 (relative to WT),0.3866128173074553,0.05625044502823749,25
MutPred2_rankscore,Aβ42 (relative to WT),0.20230769230769227,0.3321314401444694,25
MVP_rankscore,Aβ42 (relative to WT),0.3638461538461538,0.07378412709009198,25
gMVP_rankscore,Aβ42 (relative to WT),0.3353846153846154,0.10122592017884997,25
MPC_rankscore,Aβ42 (relative to WT),0.13694941588204387,0.5138998956870935,25
PrimateAI_rankscore,Aβ42 (relative to WT),0.06307692307692309,0.7645308004755562,25
DEOGEN2_rankscore,Aβ42 (relative to WT),0.43,0.031918410592466445,25
BayesDel_addAF_rankscore,Aβ42 (relative to WT),0.38461538461538464,0.057645008419383886,25
BayesDel_noAF_rankscore,Aβ42 (relative to WT),0.1992307692307692,0.3396925245488783,25
ClinPred_rankscore,Aβ42 (relative to WT),0.4738461538461538,0.01671989801204674,25
LIST-S2_rankscore,Aβ42 (relative to WT),0.25,0.22810349446062958,25
VARITY_R_rankscore,Aβ42 (relative to WT),0.3446153846153846,0.09160561662683199,25
VARITY_ER_rankscore,Aβ42 (relative to WT),0.29384615384615387,0.15395148560637864,25
VARITY_R_LOO_rankscore,Aβ42 (relative to WT),0.30769230769230765,0.1345826496160396,25
VARITY_ER_LOO_rankscore,Aβ42 (relative to WT),0.2907692307692308,0.15851094976487984,25
ESM1b_converted_rankscore,Aβ42 (relative to WT),0.37461538461538463,0.06503395442530739,25
