Predictor,Outcome,rho,p_value,n
SIFT_converted_rankscore,Aβ40 (relative to WT),0.05710618246038394,0.7522615967507442,33
SIFT4G_converted_rankscore,Aβ40 (relative to WT),0.03210703059407259,0.8592141348529088,33
Polyphen2_HDIV_rankscore,Aβ40 (relative to WT),0.016221319506711237,0.9286073964617386,33
Polyphen2_HVAR_rankscore,Aβ40 (relative to WT),-0.07454454391270203,0.680127903826901,33
MutationTaster_rankscore,Aβ40 (relative to WT),-0.20226302703692423,0.2589708362887907,33
MutationAssessor_rankscore,Aβ40 (relative to WT),-0.05465028848361115,0.762604265954692,33
PROVEAN_converted_rankscore,Aβ40 (relative to WT),-0.19754324461048434,0.2704849257061849,33
VEST4_rankscore,Aβ40 (relative to WT),-0.2844489021379394,0.10863248789207933,33
MetaSVM_rankscore,Aβ40 (relative to WT),0.29411764705882354,0.09663145761381288,33
MetaLR_rankscore,Aβ40 (relative to WT),-0.1218452298483403,0.499369349360977,33
MetaRNN_rankscore,Aβ40 (relative to WT),-0.21290106951871657,0.2342181076945915,33
M-CAP_rankscore,Aβ40 (relative to WT),-0.25362903225806455,0.1685897036825271,31
REVEL_rankscore,Aβ40 (relative to WT),-0.21412453660940964,0.23147726595613172,33
MutPred2_rankscore,Aβ40 (relative to WT),-0.36798128342245995,0.03512205810015737,33
MVP_rankscore,Aβ40 (relative to WT),-0.22393048128342247,0.21029162040040167,33
gMVP_rankscore,Aβ40 (relative to WT),-0.3880347593582888,0.025655340105664844,33
MPC_rankscore,Aβ40 (relative to WT),-0.2302807486631016,0.19730632045564375,33
PrimateAI_rankscore,Aβ40 (relative to WT),-0.48195187165775405,0.00451044414983941,33
DEOGEN2_rankscore,Aβ40 (relative to WT),-0.25467914438502676,0.1526257158926244,33
BayesDel_addAF_rankscore,Aβ40 (relative to WT),-0.16945187165775402,0.34581648231955997,33
BayesDel_noAF_rankscore,Aβ40 (relative to WT),-0.12633689839572193,0.48356425151950666,33
ClinPred_rankscore,Aβ40 (relative to WT),-0.09157754010695188,0.6122561044810437,33
LIST-S2_rankscore,Aβ40 (relative to WT),-0.1504010695187166,0.40346895918794123,33
VARITY_R_rankscore,Aβ40 (relative to WT),-0.22627005347593582,0.2054409078638024,33
VARITY_ER_rankscore,Aβ40 (relative to WT),-0.28141711229946526,0.11261721987019953,33
